pcrplate_with_cooler,gradientPCRlividansoutputPlate,,,
A1,lefthomologyarm2.5kbA,dna,20,ul
B1,lefthomologyarm2.5kbA,dna,20,ul
C1,lefthomologyarm2.5kbA,dna,20,ul
D1,lefthomologyarm2.5kbA,dna,20,ul
E1,lefthomologyarm2.5kbA,dna,20,ul
F1,lefthomologyarm2.5kbA,dna,20,ul
G1,lefthomologyarm2.5kbA,dna,20,ul
H1,lefthomologyarm2.5kbA,dna,20,ul
A2,lefthomologyarm2.5kbB,dna,20,ul
B2,lefthomologyarm2.5kbB,dna,20,ul
C2,lefthomologyarm2.5kbB,dna,20,ul
D2,lefthomologyarm2.5kbB,dna,20,ul
E2,lefthomologyarm2.5kbB,dna,20,ul
F2,lefthomologyarm2.5kbB,dna,20,ul
G2,lefthomologyarm2.5kbB,dna,20,ul
H2,lefthomologyarm2.5kbB,dna,20,ul
A3,lefthomologyarm3kb,dna,20,ul
B3,lefthomologyarm3kb,dna,20,ul
C3,lefthomologyarm3kb,dna,20,ul
D3,lefthomologyarm3kb,dna,20,ul
E3,lefthomologyarm3kb,dna,20,ul
F3,lefthomologyarm3kb,dna,20,ul
G3,lefthomologyarm3kb,dna,20,ul
H3,lefthomologyarm3kb,dna,20,ul
A4,righthomologyarm1kb,dna,20,ul
B4,righthomologyarm1kb,dna,20,ul
C4,righthomologyarm1kb,dna,20,ul
D4,righthomologyarm1kb,dna,20,ul
E4,righthomologyarm1kb,dna,20,ul
F4,righthomologyarm1kb,dna,20,ul
G4,righthomologyarm1kb,dna,20,ul
H4,righthomologyarm1kb,dna,20,ul
A5,righthomologyarm2.5kbA,dna,20,ul
B5,righthomologyarm2.5kbA,dna,20,ul
C5,righthomologyarm2.5kbA,dna,20,ul
D5,righthomologyarm2.5kbA,dna,20,ul
E5,righthomologyarm2.5kbA,dna,20,ul
F5,righthomologyarm2.5kbA,dna,20,ul
G5,righthomologyarm2.5kbA,dna,20,ul
H5,righthomologyarm2.5kbA,dna,20,ul
A6,righthomologyarm2.5kbB,dna,20,ul
B6,righthomologyarm2.5kbB,dna,20,ul
C6,righthomologyarm2.5kbB,dna,20,ul
D6,righthomologyarm2.5kbB,dna,20,ul
E6,righthomologyarm2.5kbB,dna,20,ul
F6,righthomologyarm2.5kbB,dna,20,ul
G6,righthomologyarm2.5kbB,dna,20,ul
H6,righthomologyarm2.5kbB,dna,20,ul
A7,righthomologyarm3kb,dna,20,ul
B7,righthomologyarm3kb,dna,20,ul
C7,righthomologyarm3kb,dna,20,ul
D7,righthomologyarm3kb,dna,20,ul
E7,righthomologyarm3kb,dna,20,ul
F7,righthomologyarm3kb,dna,20,ul
G7,righthomologyarm3kb,dna,20,ul
H7,righthomologyarm3kb,dna,20,ul
A8,lefthomologyarm1kb,dna,20,ul
B8,lefthomologyarm1kb,dna,20,ul
C8,lefthomologyarm1kb,dna,20,ul
D8,lefthomologyarm1kb,dna,20,ul
E8,lefthomologyarm1kb,dna,20,ul
F8,lefthomologyarm1kb,dna,20,ul
G8,lefthomologyarm1kb,dna,20,ul
H8,lefthomologyarm1kb,dna,20,ul
