pcrplate_skirted_riser,gradientPCRlividansoutputPlate,,,
A1,lefthomologyarm2.5kbB,dna,20,ul
B1,lefthomologyarm2.5kbB,dna,20,ul
C1,lefthomologyarm2.5kbB,dna,20,ul
D1,lefthomologyarm2.5kbB,dna,20,ul
E1,lefthomologyarm2.5kbB,dna,20,ul
F1,lefthomologyarm2.5kbB,dna,20,ul
G1,lefthomologyarm2.5kbB,dna,20,ul
H1,lefthomologyarm2.5kbB,dna,20,ul
A2,lefthomologyarm3kb,dna,20,ul
B2,lefthomologyarm3kb,dna,20,ul
C2,lefthomologyarm3kb,dna,20,ul
D2,lefthomologyarm3kb,dna,20,ul
E2,lefthomologyarm3kb,dna,20,ul
F2,lefthomologyarm3kb,dna,20,ul
G2,lefthomologyarm3kb,dna,20,ul
H2,lefthomologyarm3kb,dna,20,ul
A3,righthomologyarm1kb,dna,20,ul
B3,righthomologyarm1kb,dna,20,ul
C3,righthomologyarm1kb,dna,20,ul
D3,righthomologyarm1kb,dna,20,ul
E3,righthomologyarm1kb,dna,20,ul
F3,righthomologyarm1kb,dna,20,ul
G3,righthomologyarm1kb,dna,20,ul
H3,righthomologyarm1kb,dna,20,ul
A4,righthomologyarm2.5kbA,dna,20,ul
B4,righthomologyarm2.5kbA,dna,20,ul
C4,righthomologyarm2.5kbA,dna,20,ul
D4,righthomologyarm2.5kbA,dna,20,ul
E4,righthomologyarm2.5kbA,dna,20,ul
F4,righthomologyarm2.5kbA,dna,20,ul
G4,righthomologyarm2.5kbA,dna,20,ul
H4,righthomologyarm2.5kbA,dna,20,ul
A5,righthomologyarm2.5kbB,dna,20,ul
B5,righthomologyarm2.5kbB,dna,20,ul
C5,righthomologyarm2.5kbB,dna,20,ul
D5,righthomologyarm2.5kbB,dna,20,ul
E5,righthomologyarm2.5kbB,dna,20,ul
F5,righthomologyarm2.5kbB,dna,20,ul
G5,righthomologyarm2.5kbB,dna,20,ul
H5,righthomologyarm2.5kbB,dna,20,ul
A6,righthomologyarm3kb,dna,20,ul
B6,righthomologyarm3kb,dna,20,ul
C6,righthomologyarm3kb,dna,20,ul
D6,righthomologyarm3kb,dna,20,ul
E6,righthomologyarm3kb,dna,20,ul
F6,righthomologyarm3kb,dna,20,ul
G6,righthomologyarm3kb,dna,20,ul
H6,righthomologyarm3kb,dna,20,ul
A7,lefthomologyarm1kb,dna,20,ul
B7,lefthomologyarm1kb,dna,20,ul
C7,lefthomologyarm1kb,dna,20,ul
D7,lefthomologyarm1kb,dna,20,ul
E7,lefthomologyarm1kb,dna,20,ul
F7,lefthomologyarm1kb,dna,20,ul
G7,lefthomologyarm1kb,dna,20,ul
H7,lefthomologyarm1kb,dna,20,ul
A8,lefthomologyarm2.5kbA,dna,20,ul
B8,lefthomologyarm2.5kbA,dna,20,ul
C8,lefthomologyarm2.5kbA,dna,20,ul
D8,lefthomologyarm2.5kbA,dna,20,ul
E8,lefthomologyarm2.5kbA,dna,20,ul
F8,lefthomologyarm2.5kbA,dna,20,ul
G8,lefthomologyarm2.5kbA,dna,20,ul
H8,lefthomologyarm2.5kbA,dna,20,ul
