pcrplate_with_cooler,20160725gradientPCRoutputPlate,,,
A1,righthomologyarm3kb,dna,20,ul
B1,righthomologyarm3kb,dna,20,ul
C1,righthomologyarm3kb,dna,20,ul
D1,righthomologyarm3kb,dna,20,ul
E1,righthomologyarm3kb,dna,20,ul
F1,righthomologyarm3kb,dna,20,ul
G1,righthomologyarm3kb,dna,20,ul
H1,righthomologyarm3kb,dna,20,ul
A6,righthomologyarm1kb,dna,20,ul
B6,righthomologyarm1kb,dna,20,ul
C6,righthomologyarm1kb,dna,20,ul
D6,righthomologyarm1kb,dna,20,ul
E6,righthomologyarm1kb,dna,20,ul
F6,righthomologyarm1kb,dna,20,ul
G6,righthomologyarm1kb,dna,20,ul
H6,righthomologyarm1kb,dna,20,ul
A7,righthomologyarm2.5kbA,dna,20,ul
B7,righthomologyarm2.5kbA,dna,20,ul
C7,righthomologyarm2.5kbA,dna,20,ul
D7,righthomologyarm2.5kbA,dna,20,ul
E7,righthomologyarm2.5kbA,dna,20,ul
F7,righthomologyarm2.5kbA,dna,20,ul
G7,righthomologyarm2.5kbA,dna,20,ul
H7,righthomologyarm2.5kbA,dna,20,ul
A8,righthomologyarm2.5kbB,dna,20,ul
B8,righthomologyarm2.5kbB,dna,20,ul
C8,righthomologyarm2.5kbB,dna,20,ul
D8,righthomologyarm2.5kbB,dna,20,ul
E8,righthomologyarm2.5kbB,dna,20,ul
F8,righthomologyarm2.5kbB,dna,20,ul
G8,righthomologyarm2.5kbB,dna,20,ul
H8,righthomologyarm2.5kbB,dna,20,ul
